eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,eDbV2XPtType,usV2xGroupId,unTotalPacketCrc32
eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,eDbV2XPtType,usV2xGroupId,unTotalPacketCrc32
1,31,20120002,2024080615234195822,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234195822,0,5915,20,20,0,0,100,37.411536,127.095064,99.585360,47,47,28,160,0,0,0x82c704f3
1,31,20120002,2024080615234205833,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234205833,0,5915,20,20,0,0,100,37.411544,127.095072,99.608240,48,48,28,159,0,0,0xa94612bc
1,31,20120002,2024080615234215846,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234215846,0,5915,20,20,0,0,100,37.411552,127.095072,99.635768,49,49,28,158,0,0,0xb983eddc
1,31,20120002,2024080615234225859,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234225859,0,5915,20,20,0,0,100,37.411556,127.095080,99.661240,50,50,28,157,0,0,0x52c3ed68
1,31,20120002,2024080615234235871,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234235871,0,5915,20,20,0,0,100,37.411564,127.095080,99.683056,51,51,28,157,0,0,0xdb7f7927
1,31,20120002,2024080615234245885,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234245885,0,5915,20,20,0,0,100,37.411568,127.095088,99.705256,52,52,27,156,0,0,0x4d674aca
1,31,20120002,2024080615234255899,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234255899,0,5915,20,20,0,0,100,37.411576,127.095088,99.729128,53,53,27,155,0,0,0x1f297a05
1,31,20120002,2024080615234265912,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234265912,0,5915,20,20,0,0,100,37.411580,127.095096,99.747528,54,54,27,155,0,0,0x535fb16c
1,31,20120002,2024080615234275923,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234275923,0,5915,20,20,0,0,100,37.411588,127.095096,99.766104,55,55,27,154,0,0,0x3ff14b3d
1,31,20120002,2024080615234285936,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234285936,0,5915,20,20,0,0,100,37.411592,127.095104,99.778608,56,56,27,154,0,0,0xd84384f4
1,31,20120002,2024080615234295950,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234295950,0,5915,20,20,0,0,100,37.411600,127.095104,99.789032,57,57,27,153,0,0,0xa38c58d6
1,31,20120002,2024080615234305962,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234305962,0,5915,20,20,0,0,100,37.411604,127.095112,99.801704,58,58,27,153,0,0,0x9990b0e7
1,31,20120002,2024080615234315974,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234315974,0,5915,20,20,0,0,100,37.411608,127.095112,99.826208,59,59,27,152,0,0,0x4dc63951
1,31,20120002,2024080615234325986,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234325986,0,5915,20,20,0,0,100,37.411612,127.095112,99.843024,60,60,27,152,0,0,0x466d6442
1,31,20120002,2024080615234335999,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234335999,0,5915,20,20,0,0,100,37.411620,127.095112,99.850104,61,61,27,152,0,0,0x9defcef6
1,31,20120002,2024080615234346013,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234346013,0,5915,20,20,0,0,100,37.411624,127.095120,99.855904,62,62,24,151,0,0,0xaa49b01f
1,31,20120002,2024080615234356025,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234356025,0,5915,20,20,0,0,100,37.411632,127.095120,99.871008,63,63,24,151,0,0,0xf104fd8a
1,31,20120002,2024080615234366034,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234366034,0,5915,20,20,0,0,100,37.411636,127.095128,99.888680,64,64,24,151,0,0,0x59362e76
1,31,20120002,2024080615234376047,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234376047,0,5915,20,20,0,0,100,37.411640,127.095136,99.907040,65,65,24,150,0,0,0x823268c9
1,31,20120002,2024080615234386059,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234386059,0,5915,20,20,0,0,100,37.411648,127.095136,99.920944,66,66,24,150,0,0,0x947098b0
1,31,20120002,2024080615234396070,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234396070,0,5915,20,20,0,0,100,37.411652,127.095144,99.935608,67,67,24,150,0,0,0x51af0289
1,31,20120002,2024080615234406083,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234406083,0,5915,20,20,0,0,100,37.411656,127.095152,99.944760,68,68,24,149,0,0,0xa912ad75
1,31,20120002,2024080615234416096,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234416096,0,5915,20,20,0,0,100,37.411664,127.095152,99.951424,69,69,24,149,0,0,0xcb308dbb
1,31,20120002,2024080615234426109,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234426109,0,5915,20,20,0,0,100,37.411668,127.095160,99.958296,70,70,24,149,0,0,0x7203448c
1,31,20120002,2024080615234436121,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234436121,0,5915,20,20,0,0,100,37.411672,127.095160,99.968144,71,71,24,148,0,0,0xe9100279
1,31,20120002,2024080615234446134,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234446134,0,5915,20,20,0,0,100,37.411676,127.095168,99.979544,72,72,25,148,0,0,0xa90a5bb
1,31,20120002,2024080615234456146,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234456146,0,5915,20,20,0,0,100,37.411680,127.095176,99.989928,73,73,25,148,0,0,0x103f4162
1,31,20120002,2024080615234466159,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234466159,0,5915,20,20,0,0,100,37.411684,127.095176,99.991760,74,74,25,148,0,0,0x78c25de0
1,31,20120002,2024080615234476169,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234476169,0,5915,20,20,0,0,100,37.411688,127.095184,99.999632,75,75,25,147,0,0,0xd3a8126a
1,31,20120002,2024080615234486180,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234486180,0,5915,20,20,0,0,100,37.411692,127.095184,100.011632,76,76,25,147,0,0,0xd8f3743e
1,31,20120002,2024080615234496192,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234496192,0,5915,20,20,0,0,100,37.411696,127.095192,100.023232,77,77,25,147,0,0,0x4ed21e57
1,31,20120002,2024080615234506206,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234506206,0,5915,20,20,0,0,100,37.411700,127.095192,100.034712,78,78,25,147,0,0,0x6f6a323c
1,31,20120002,2024080615234516221,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234516221,0,5915,20,20,0,0,100,37.411708,127.095200,100.047288,79,79,25,147,0,0,0xd99098f4
1,31,20120002,2024080615234526235,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234526235,0,5915,20,20,0,0,100,37.411712,127.095208,100.065176,80,80,25,147,0,0,0x53862278
1,31,20120002,2024080615234536246,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234536246,0,5915,20,20,0,0,100,37.411716,127.095208,100.077552,81,81,25,147,0,0,0xb79e8f95
1,31,20120002,2024080615234546259,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234546259,0,5915,20,20,0,0,100,37.411720,127.095216,100.090952,82,82,23,147,0,0,0xc9d91681
1,31,20120002,2024080615234556272,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234556272,0,5915,20,20,0,0,100,37.411724,127.095216,100.100040,83,83,23,147,0,0,0x3340e18f
