eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,eChannel,sPower,eBandwidth,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unTotalCommDevCnt,usRssi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23040015,2024042417320973667,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532617192,2022042903140677436,2024042417320973667,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13950,50,0,0,0xe334f8f9,2023091414532618255,2022042902461567575,2024042417320974921,1063,-679109861,1254,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13950,0,100.000,0.000
1,31,23040015,2024042417320983698,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532627328,2022042903140687463,2024042417320983698,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13951,51,0,0,0x7261a65e,2023091414532627752,2022042902461577068,2024042417320985000,424,-679110395,1302,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13951,0,100.000,0.000
1,31,23040015,2024042417320993727,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532637304,2022042903140697494,2024042417320993727,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13952,52,0,0,0x6fff14de,2023091414532638057,2022042902461587377,2024042417320995084,753,-679110117,1357,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13952,0,100.000,0.000
1,31,23040015,2024042417321003758,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532647310,2022042903140707531,2024042417321003758,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13953,53,0,0,0x45b1024d,2023091414532648207,2022042902461597523,2024042417321005167,897,-679110008,1409,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13953,0,100.000,0.000
1,31,23040015,2024042417321013769,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532657402,2022042903140717540,2024042417321013769,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13954,54,0,0,0xed4bf429,2023091414532658003,2022042902461607321,2024042417321015250,601,-679110219,1481,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13954,0,100.000,0.000
1,31,23040015,2024042417321023798,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532667434,2022042903140727577,2024042417321023798,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13955,55,0,0,0x41c8b460,2023091414532668503,2022042902461617822,2024042417321025331,1069,-679109755,1533,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13955,0,100.000,0.000
1,31,23040015,2024042417321033827,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532677404,2022042903140737603,2024042417321033827,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13956,56,0,0,0xf1dfa797,2023091414532678453,2022042902461627775,2024042417321035411,1049,-679109828,1584,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13956,0,100.000,0.000
1,31,23040015,2024042417321043856,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532687419,2022042903140747629,2024042417321043856,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13957,57,0,0,0x793b026,2023091414532687803,2022042902461637122,2024042417321044482,384,-679110507,626,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13957,0,100.000,0.000
1,31,23040015,2024042417321053885,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532697418,2022042903140757652,2024042417321053885,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13958,58,0,0,0xef0dbb7b,2023091414532698452,2022042902461647773,2024042417321055568,1034,-679109879,1683,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13958,0,100.000,0.000
1,31,23040015,2024042417321063897,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532697418,2022042903140767663,2024042417321063897,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13959,59,0,0,0x35794510,2023091414532698452,2022042902461647773,2024042417321064625,1034,-679119890,728,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13959,0,100.000,0.000
