eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,eChannel,sPower,eBandwidth,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unTotalCommDevCnt,usRssi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23040015,2024042417355371576,1,1,9,101,1,1.5,0x1,0x1,132,2023091414571031462,2022042903175092124,2024042417355371576,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646601,35.646601,0.000000,27,27,0,0,0x4ee51294,2023091414571022557,2022042902495972361,2024042417355388825,-8905,-679119763,17249,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,27,0,100.000,0.000
1,31,23040015,2024042417355381702,1,1,9,101,1,1.5,0x1,0x1,132,2023091414571041398,2022042903175102043,2024042417355381702,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646601,35.646601,0.000000,28,28,0,0,0x5dbb3870,2023091414571042057,2022042902495991843,2024042417355398917,659,-679110200,17215,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,28,0,100.000,0.000
1,31,23040015,2024042417355391743,1,1,9,101,1,1.5,0x1,0x1,132,2023091414571051195,2022042903175111848,2024042417355391743,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646601,35.646601,0.000000,29,29,0,0,0x179c9271,2023091414571051468,2022042902500001251,2024042417355407982,273,-675110597,16239,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,29,0,100.000,0.000
1,31,23040015,2024042417355401773,1,1,9,101,1,1.5,0x1,0x1,132,2023091414571060999,2022042903175121679,2024042417355401773,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646601,35.646601,0.000000,30,30,0,0,0x75cff3fd,2023091414571061659,2022042902500011447,2024042417355418056,660,-675110232,16283,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,30,0,100.000,0.000
1,31,23040015,2024042417355411810,1,1,9,101,1,1.5,0x1,0x1,132,2023091414571070850,2022042903175131507,2024042417355411810,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646601,35.646601,0.000000,31,31,0,0,0x6b9c49f5,2023091414571071810,2022042902500021603,2024042417355428130,960,-675109904,16320,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,31,0,100.000,0.000
1,31,23040015,2024042417355421881,1,1,9,101,1,1.5,0x1,0x1,132,2023091414571080702,2022042903175141362,2024042417355421881,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646601,35.646601,0.000000,32,32,0,0,0x2c3f69b5,2023091414571081064,2022042902500030854,2024042417355438203,362,-675110508,16322,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,32,0,100.000,0.000
1,31,23040015,2024042417355431951,1,1,9,101,1,1.5,0x1,0x1,132,2023091414571090576,2022042903175151240,2024042417355431951,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646601,35.646601,0.000000,33,33,0,0,0x9965e681,2023091414571090761,2022042902500040547,2024042417355447269,185,-675110693,15318,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,33,0,100.000,0.000
1,31,23040015,2024042417355441998,1,1,9,101,1,1.5,0x1,0x1,132,2023091414571100436,2022042903175161085,2024042417355441998,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646601,35.646601,0.000000,34,34,0,0,0xd02d11d1,2023091414571101059,2022042902500050855,2024042417355458348,623,-675110230,16350,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,34,0,100.000,0.000
1,31,23040015,2024042417355452023,1,1,9,101,1,1.5,0x1,0x1,132,2023091414571110277,2022042903175170940,2024042417355452023,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646601,35.646601,0.000000,35,35,0,0,0x7003567,2023091414571111116,2022042902500060904,2024042417355468447,839,-675110036,16424,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,35,0,100.000,0.000
1,31,23040015,2024042417355462043,1,1,9,101,1,1.5,0x1,0x1,132,2023091414571120072,2022042903175180739,2024042417355462043,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646602,35.646602,0.000000,36,36,0,0,0x5c11be25,2023091414571120457,2022042902500070247,2024042417355477516,385,-675110492,15473,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,36,0,100.000,0.000
