eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,eChannel,sPower,eBandwidth,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
1,31,23040015,2024042417360080507,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360080507,0,180,20,2,100,0.000000,0.000000,0.000000,80,80,0,0,0xa4014ca9
1,31,23040015,2024042417360090540,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360090540,0,180,20,2,100,0.000000,0.000000,0.000000,81,81,0,0,0x94b98509
1,31,23040015,2024042417360100572,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360100572,0,180,20,2,100,0.000000,0.000000,0.000000,82,82,0,0,0x733d3c70
1,31,23040015,2024042417360110604,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360110604,0,180,20,2,100,0.000000,0.000000,0.000000,83,83,0,0,0x61a0dea0
1,31,23040015,2024042417360120637,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360120637,0,180,20,2,100,0.000000,0.000000,0.000000,84,84,0,0,0x5b443efb
1,31,23040015,2024042417360130670,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360130670,0,180,20,2,100,0.000000,0.000000,0.000000,85,85,0,0,0xa5b8d2d0
1,31,23040015,2024042417360140707,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360140707,0,180,20,2,100,0.000000,0.000000,0.000000,86,86,0,0,0xb71f2d95
1,31,23040015,2024042417360150741,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360150741,0,180,20,2,100,0.000000,0.000000,0.000000,87,87,0,0,0x88432cf9
1,31,23040015,2024042417360160774,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360160774,0,180,20,2,100,0.000000,0.000000,0.000000,88,88,0,0,0x766bbfea
1,31,23040015,2024042417360170807,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360170807,0,180,20,2,100,0.000000,0.000000,0.000000,89,89,0,0,0x34edb6c2
